4	18AJL006	重点项目	理论经济	综合集成模拟实验平台的设计与构建研究	2018-06-21	万相昱	副高级	中国社会科学院		社科院	中国社会科学院									
5	18AJL007	重点项目	理论经济	混合所有制改革背景下国有资产监管体制转型研究	2018-06-21	綦好东	正高级	山东财经大学		山东	高等院校、其他学校									
5	18AJL008	重点项目	理论经济	劳动力结构变化促进制造业迈向全球价值链中高端的机理及政策研究	2018-06-21	阳立高	副高级	长沙理工大学		湖南	高等院校、其他学校									
5	18AJL009	重点项目	理论经济	贫困脆弱性视角下金融减贫的机理、效应与政策优化研究	2018-06-21	王修华	正高级	湖南大学	985高校211高校	湖南	高等院校、其他学校									
5	18AJL010	重点项目	理论经济	区域协调发展战略引领中国城市群新型城镇格局优化研究	2018-06-21	曾鹏	正高级	桂林理工大学		广西	高等院校、其他学校									
5	18AJL011	重点项目	理论经济	中国经济转型中城镇体系规模分布的形成机制与经济影响研究	2018-06-21	刘修岩	正高级	东南大学	985高校211高校	江苏	高等院校、其他学校									
5	18AJL012	重点项目	理论经济	中国绿色贸易利益的测度及提升对策研究	2018-06-21	姜鸿	正高级	常州大学		江苏	高等院校、其他学校									
5	18AJL013	重点项目	理论经济	深度贫困的结构性分布与高质量退出研究	2018-06-21	朱方明	正高级	四川大学	985高校211高校	四川	高等院校、其他学校									
5	18AJL014	重点项目	理论经济	就业扶贫的机制、效应与政策研究	2018-06-21	李长安	正高级	对外经济贸易大学	211高校	高校	高等院校、其他学校									
5	18AJL015	重点项目	理论经济	可持续生计分析框架下中部贫困地区农民就业能力提升研究	2018-06-21	何筠	正高级	南昌大学	211高校	江西	高等院校、其他学校									
5	18AJL016	重点项目	理论经济	乡村振兴战略下返乡劳动力创业质量研究	2018-06-21	王轶	副高级	北京工商大学		北京	高等院校、其他学校									
5	18AJY001	重点项目	应用经济	对口支援边疆地区的政策效果评估和提升路径研究	2018-06-21	刘金山	正高级	暨南大学	211高校	广东	高等院校、其他学校									
5	18AJY002	重点项目	应用经济	公司治理、竞争战略与商业银行风险控制研究	2018-06-21	翟胜宝	正高级	安徽财经大学		安徽	高等院校、其他学校									
5	18AJY003	重点项目	应用经济	新形势下长效治理精准产业扶贫异化的审计机制研究	2018-06-21	王善平	正高级	湖南师范大学	211高校	湖南	高等院校、其他学校									
